# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
 147,        "HD 37605 b",2.8000000119e-01,5.0000000745e-02,5.0000000745e-02,6.8000000715e-01,0.0000000000e+00,-0.0000000000e+00,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1606481399e+00,2.3181023961e-01,1.8180636536e-01,9.4999998808e-01,1.9999999553e-02,1.9999999553e-02,0,8.5007209778e+01,6.0605788231e+00,8.4799629211e+01,-1.7288627625e+01,5.5013069153e+01
 148,        "HD 38283 b",1.0199999809e+00,1.9999999553e-02,1.9999999553e-02,4.0999999642e-01,1.5999999642e-01,1.5999999642e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2070735772e+00,3.7774651155e-01,3.0641172741e-01,1.4900000095e+00,9.9999997765e-03,9.9999997765e-03,0,8.4258407593e+01,-7.3699340820e+01,2.8260568237e+02,-8.2607612610e+01,3.6320001221e+02
 149,        "HD 38529 b",1.3099999726e-01,2.0000000950e-03,2.0000000950e-03,2.5699999928e-01,1.4999999665e-02,1.4999999665e-02,9.2500000000e+01,3.9000000954e+00,3.9000000954e+00,1.2168599285e+00,2.2508970961e-01,1.8105626168e-01,1.5548604134e+00,1.5710103914e+00,1.5710103914e+00,0,8.6645469666e+01,1.1681929827e+00,8.6376548767e+01,-2.2228914261e+01,1.4309800148e+01
 150,        "HD 38529 c",3.7119998932e+00,4.8000000417e-02,4.8000000417e-02,3.4099999070e-01,4.9999998882e-03,4.9999998882e-03,1.7799999237e+01,1.2000000477e+00,1.2000000477e+00,1.0939946099e+00,1.9835842722e-01,1.8418787808e-01,1.5451548361e+00,1.4948542674e+00,1.4948542674e+00,0,8.6645469666e+01,1.1681929827e+00,8.6376548767e+01,-2.2228914261e+01,2.1401999512e+03
 151,        "HD 39091 b",3.3800001144e+00,2.1999999881e-01,2.1999999881e-01,6.4050000906e-01,7.1999998763e-03,7.1999998763e-03,3.3023999023e+02,6.7000001669e-01,6.7000001669e-01,1.1006728945e+00,2.0492878551e-01,1.8743783607e-01,1.1498617126e+00,9.8601366346e-02,9.8601366346e-02,0,8.4291213989e+01,-8.0469123840e+01,2.7390765381e+02,-7.6013931274e+01,2.1510000000e+03
 152,        "HD 40307 b",4.6799998730e-02,2.4000001140e-03,2.4000001140e-03,2.0000000298e-01,1.4000000060e-01,1.5999999642e-01,1.9480000305e+02,4.5799999237e+01,5.7299999237e+01,1.6252122457e-01,7.6659646710e-02,4.9486640240e-02,8.5841330431e-01,1.6347740706e-01,1.6347740706e-01,0,8.8517669678e+01,-6.0023471832e+01,8.3514335632e+01,-8.3429374695e+01,4.3123002052e+00
 153,        "HD 40307 d",1.3210000098e-01,6.5999999642e-03,6.5999999642e-03,7.0000000298e-02,1.0999999940e-01,7.0000000298e-02,1.7200000763e+01,0.0000000000e+00,0.0000000000e+00,2.7228329246e-01,1.0826928091e-01,7.7483993511e-02,8.6001603408e-01,1.6235697238e-01,1.6235697238e-01,0,8.8517669678e+01,-6.0023471832e+01,8.3514335632e+01,-8.3429374695e+01,2.0431999207e+01
 154,        "HD 40307 f",2.4699999392e-01,1.0999999940e-02,1.0999999940e-02,1.9999999553e-02,2.0000000298e-01,1.9999999553e-02,3.5520001221e+02,0.0000000000e+00,0.0000000000e+00,1.8413572909e-01,8.7073423804e-02,6.0614199812e-02,8.5827750647e-01,1.6005138482e-01,1.6005138482e-01,0,8.8517669678e+01,-6.0023471832e+01,8.3514335632e+01,-8.3429374695e+01,5.1759998322e+01
 155,        "HD 40979 b",8.5000002384e-01,9.9999997765e-03,9.9999997765e-03,2.5000000000e-01,9.9999997765e-03,9.9999997765e-03,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1422520837e+00,2.2233985175e-01,1.7776689437e-01,1.2100000381e+00,1.9999999553e-02,1.9999999553e-02,0,9.1124763489e+01,4.4260444641e+01,9.0861801147e+01,2.0824518204e+01,2.6414999390e+02
 156,      "HD 41004 B b",1.7408443698e-02,5.8339336741e-04,5.8339336741e-04,8.1000000238e-02,1.2000000104e-02,1.2000000104e-02,1.7850000000e+02,7.8000001907e+00,7.8000001907e+00,1.0719299882e+00,2.1522991549e-01,1.8355718249e-01,-9.9900000000e+02,-9.9900000000e+02,-9.9900000000e+02,0,8.9956886292e+01,-4.8239841461e+01,8.9908653259e+01,-7.1679115295e+01,1.3282999992e+00
