# ID,pl_name,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_radj,pl_radjerr1,pl_radjerr2,st_rad,st_raderr1,st_raderr2,pl_tranflag,ra,dec,st_elon,st_elat,pl_orbper
   0,        "HD 95872 b",5.1500000954e+00,1.5999999642e-01,1.5999999642e-01,5.9999998659e-02,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1490024648e+00,2.0265494709e-01,1.6640874314e-01,8.3999997377e-01,3.9999999106e-02,3.9999999106e-02,0,1.6586711121e+02,-2.2093976974e+01,1.7630932617e+02,-2.5790601730e+01,4.3750000000e+03
   1,     "psi 1 Dra B b",4.4299998283e+00,3.9999999106e-02,3.9999999106e-02,4.0000000596e-01,5.0000000745e-02,5.0000000745e-02,6.4000000000e+01,9.0000000000e+00,9.0000000000e+00,1.1897677651e+00,2.2768695252e-01,1.8519818509e-01,1.4515135217e+00,2.0561039019e-01,2.0561039019e-01,0,2.6549209595e+02,7.2156913757e+01,1.0375430298e+02,8.4186470032e+01,3.1170000000e+03
   2,         "HD 5583 b",5.2999997139e-01,1.9999999553e-02,1.9999999553e-02,7.5999997556e-02,7.0000000298e-02,2.3000000045e-02,1.2000000000e+01,3.3000000000e+02,6.0000000000e+00,1.1377612744e+00,2.3022319636e-01,1.7117823454e-01,9.0900001526e+00,1.5000000000e+00,1.5000000000e+00,0,1.4486254692e+01,3.4985561371e+01,2.7679718018e+01,2.6393539429e+01,1.3935000610e+02
   3,      "BD+15 2375 b",5.7599997520e-01,2.7000000700e-02,2.7000000700e-02,1.0000000475e-03,2.5000000000e-01,1.0000000475e-03,5.5000000000e+01,2.4000000000e+02,1.7000000000e+01,1.2114367220e+00,2.4671456648e-01,1.8946948505e-01,8.9499998093e+00,1.4500000477e+00,1.4500000477e+00,0,1.7648217773e+02,1.4616380692e+01,1.7089114380e+02,1.1999643326e+01,1.5322000122e+02
   4,       "HD 217107 c",5.3200001717e+00,3.7999999523e-01,3.7999999523e-01,5.1700001955e-01,3.2999999821e-02,3.2999999821e-02,1.9860000610e+02,6.0000000000e+00,6.0000000000e+00,1.1678449355e+00,2.0841580363e-01,1.7505646346e-01,1.1100000143e+00,9.9999997765e-03,9.9999997765e-03,0,3.4456475830e+02,-2.3953850269e+00,3.4485913086e+02,3.8663411140e+00,4.2700000000e+03
   5,       "HD 217786 b",2.3800001144e+00,3.9999999106e-02,3.9999999106e-02,4.0000000596e-01,5.0000000745e-02,5.0000000745e-02,1.0000000000e+02,2.0000000000e+00,2.0000000000e+00,1.1013915562e+00,1.9657438537e-01,1.8980013407e-01,1.2699999809e+00,5.9999998659e-02,5.9999998659e-02,0,3.4578417969e+02,-4.2962199450e-01,3.4674801636e+02,5.2097411156e+00,1.3190000000e+03
   6,       "HD 218566 b",6.8999999762e-01,9.9999997765e-03,9.9999997765e-03,3.0000001192e-01,1.0000000149e-01,1.0000000149e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,8.0182927791e-01,3.8043186926e-01,2.6539960676e-01,8.5000002384e-01,3.9999999106e-02,3.9999999106e-02,0,3.4729470825e+02,-2.2607419491e+00,3.4743145752e+02,2.9362900257e+00,2.2569999695e+02
   7,       "HD 219415 b",3.2000000477e+00,3.2000000477e-01,3.2000000477e-01,4.0000000596e-01,9.0000003576e-02,9.0000003576e-02,2.0700000000e+02,1.2300000191e+01,1.2300000191e+01,1.2235243831e+00,2.2485253792e-01,2.0451855565e-01,2.9000000954e+00,4.0000000596e-01,4.0000000596e-01,0,3.4872427368e+02,5.6730327606e+01,2.3521696091e+01,5.4073665619e+01,2.0933000488e+03
   8,       "HD 220074 b",1.6000000238e+00,1.2999999523e-01,1.2999999523e-01,1.4000000060e-01,5.0000000745e-02,5.0000000745e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.0602199804e+00,2.2651235160e-01,1.7073622499e-01,5.4919998169e+01,8.7600002289e+00,8.7600002289e+00,0,3.5005990601e+02,6.1970127106e+01,3.0869670868e+01,5.7365852356e+01,6.7209997559e+02
   9,       "HD 220689 b",3.3599998951e+00,9.0000003576e-02,9.0000003576e-02,1.5999999642e-01,1.0000000149e-01,7.0000000298e-02,1.3700000000e+02,7.5000000000e+01,7.5000000000e+01,1.2191051187e+00,2.2818079756e-01,1.8229128130e-01,1.0700000525e+00,3.9999999106e-02,3.9999999106e-02,0,3.5147079468e+02,-2.0616029739e+01,3.4388537598e+02,-1.5535237312e+01,2.2090000000e+03
  10,       "HD 221287 b",1.2500000000e+00,3.9999999106e-02,3.9999999106e-02,7.9999998212e-02,1.7000000179e-01,5.0000000745e-02,9.8000000000e+01,9.2000000000e+01,5.1000000000e+01,1.1704824920e+00,2.1392059815e-01,1.7440115475e-01,1.1493073157e+00,2.1801323512e-01,2.1801323512e-01,0,3.5283474731e+02,-5.8209732056e+01,3.2268594360e+02,-4.8912384033e+01,4.5610000610e+02
  11,       "HD 222155 b",5.1399998665e+00,4.6000000834e-01,4.6000000834e-01,1.5999999642e-01,2.1999999881e-01,2.1999999881e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1829192597e+00,2.1162537301e-01,1.7960364883e-01,1.8500000238e+00,3.9999999106e-02,3.9999999106e-02,0,3.5450128174e+02,4.8996520996e+01,2.0371297836e+01,4.5840587616e+01,3.9990000000e+03
  12,       "HD 222582 b",1.3400000334e+00,1.9999999553e-02,1.9999999553e-02,7.3000001907e-01,9.9999997765e-03,9.9999997765e-03,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1135609918e+00,2.0422162054e-01,1.8463978973e-01,1.1299999952e+00,1.9999999553e-02,1.9999999553e-02,0,3.5546472168e+02,-5.9857568741e+00,3.5346157837e+02,-3.6920740604e+00,5.7238000488e+02
  13,       "HD 231701 b",5.6000000238e-01,9.9999997765e-03,9.9999997765e-03,1.0000000149e-01,7.9999998212e-02,7.9999998212e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2100049497e+00,2.1953935067e-01,1.9642380782e-01,1.4199999571e+00,5.0000000745e-02,5.0000000745e-02,0,2.9301733398e+02,1.6474290848e+01,2.9827954102e+02,3.7680892944e+01,1.4160000610e+02
  14,       "HD 233604 b",7.4699997902e-01,7.4699997902e-02,7.4699997902e-02,5.0000000745e-02,2.9999999329e-02,2.9999999329e-02,2.8100000000e+02,4.3000000000e+01,4.3000000000e+01,1.1179686079e+00,2.2015327720e-01,1.8285821260e-01,1.0899999619e+01,6.0000002384e-01,6.0000002384e-01,0,1.3745338440e+02,5.3568229675e+01,1.2243572998e+02,3.5340896606e+01,1.9200000000e+02
  15,       "HD 240237 b",1.9199999571e+00,1.5999999642e-01,1.5999999642e-01,4.0000000596e-01,1.0000000149e-01,1.0000000149e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.0905821729e+00,2.0640359653e-01,1.7187931859e-01,7.1230003357e+01,1.7069999695e+01,1.7069999695e+01,0,3.4892593384e+02,5.8043239594e+01,2.5181673050e+01,5.4972309113e+01,7.4570001221e+02
  16,       "HD 290327 b",3.4300000668e+00,1.5999999642e-01,1.5999999642e-01,7.9999998212e-02,5.0000000745e-02,5.0000000745e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1740109080e+00,2.0832419105e-01,1.8566467420e-01,9.4999998808e-01,2.9999999329e-02,2.9999999329e-02,0,8.0839851379e+01,-2.2776188850e+00,7.9858299255e+01,-2.5394996643e+01,2.4430000000e+03
  17,       "HD 285507 b",5.9999998659e-02,5.9999998659e-03,5.9999998659e-03,9.0000003576e-02,1.9999999553e-02,1.9999999553e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2119187454e+00,2.2108068458e-01,1.8404604295e-01,6.8999999762e-01,1.9999999553e-02,1.9999999553e-02,0,6.1755104065e+01,1.5335032463e+01,6.2711025238e+01,-5.4685258865e+00,6.0880999565e+00
  18,       "HD 330075 b",3.9999999106e-02,3.9999999106e-03,3.9999999106e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2622075514e+00,2.7353635854e-01,2.2031490006e-01,8.3999997377e-01,9.9999997765e-03,9.9999997765e-03,0,2.3740704346e+02,-4.9963523865e+01,2.4662763977e+02,-2.9135236740e+01,3.3877298832e+00
  19,        "HIP 5158 c",7.6999998093e+00,1.8799999952e+00,1.8799999952e+00,1.4000000060e-01,1.0000000149e-01,1.0000000149e-01,1.4208999634e+02,7.5629997253e+01,7.5629997253e+01,1.0980593795e+00,2.2335697141e-01,1.8750055145e-01,7.5000000000e-01,5.9999998659e-02,5.9999998659e-02,0,1.6508533478e+01,-2.2453153610e+01,5.7371268272e+00,-2.7056888580e+01,9.0177597656e+03
  20,       "HIP 12961 b",2.5000000000e-01,9.9999997765e-03,9.9999997765e-03,1.7000000179e-01,2.9999999329e-02,2.9999999329e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1534296220e+00,3.4459666696e-01,3.1834315505e-01,6.4999997616e-01,5.9999998659e-02,5.9999998659e-02,0,4.1678691864e+01,-2.3086610794e+01,3.0532817841e+01,-3.7091152191e+01,5.7435001373e+01
  21,       "HIP 14810 c",5.4500001669e-01,3.0999999493e-02,3.0999999493e-02,1.6400000453e-01,1.2000000104e-02,1.2000000104e-02,3.2900000000e+02,2.5000000000e+00,2.5000000000e+00,1.2175836203e+00,2.2161203187e-01,1.9762330067e-01,1.0399999619e+00,2.9999999329e-02,2.9999999329e-02,0,4.7809291840e+01,2.1097358704e+01,5.1130920410e+01,3.1693630219e+00,1.4772999573e+02
  22,       "HIP 14810 d",1.8899999857e+00,1.0999999940e-01,1.0999999940e-01,1.7299999297e-01,3.7000000477e-02,3.7000000477e-02,2.8600000000e+02,1.9000000000e+01,1.9000000000e+01,1.2429465954e+00,2.3844643076e-01,1.9779821230e-01,1.0399999619e+00,2.9999999329e-02,2.9999999329e-02,0,4.7809291840e+01,2.1097358704e+01,5.1130920410e+01,3.1693630219e+00,9.5200000000e+02
  23,         "GJ 1148 b",1.6599999368e-01,1.0000000475e-03,1.0000000475e-03,3.7999999523e-01,9.9999997765e-03,1.2000000104e-02,2.5810000610e+02,2.0000000000e+00,1.7999999523e+00,1.0953325866e+00,4.3438814814e-01,3.2112005584e-01,4.0000000596e-01,2.0000000298e-01,2.0000000298e-01,0,1.7543597412e+02,4.2751972198e+01,1.5614807129e+02,3.6838993073e+01,4.1380001068e+01
  24,       "HIP 57274 b",7.0000000298e-02,7.0000000298e-03,7.0000000298e-03,1.8999999762e-01,1.0000000149e-01,1.0000000149e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,2.0974102659e-01,1.1877104961e-01,8.6764457313e-02,7.7999997139e-01,5.0000000745e-02,5.0000000745e-02,0,1.7617068481e+02,3.0959293365e+01,1.6327087402e+02,2.6692285538e+01,8.1351995468e+00
  25,       "HIP 57274 d",1.0099999905e+00,1.0099999905e-01,1.0099999905e-01,2.7000001073e-01,5.0000000745e-02,5.0000000745e-02,1.8719999695e+02,5.0000000000e+00,5.0000000000e+00,1.2624900763e+00,2.3743185622e-01,2.0116695841e-01,7.7999997139e-01,5.0000000745e-02,5.0000000745e-02,0,1.7617068481e+02,3.0959293365e+01,1.6327087402e+02,2.6692285538e+01,4.3170001221e+02
  26,       "HIP 63242 b",5.6499999762e-01,5.6499999762e-02,5.6499999762e-02,2.3000000417e-01,0.0000000000e+00,0.0000000000e+00,1.1819999695e+02,0.0000000000e+00,0.0000000000e+00,1.0960149236e+00,2.0909781453e-01,1.5597052734e-01,1.1435708506e+01,2.6485069965e+00,2.6485069965e+00,0,1.9438316345e+02,-6.5646461487e+01,2.2880535889e+02,-5.2664432526e+01,1.2459999847e+02
  27,       "HIP 67851 c",3.8199999332e+00,2.3000000417e-01,2.3000000417e-01,1.7000000179e-01,5.9999998659e-02,5.9999998659e-02,1.6650000000e+02,2.0500000000e+01,2.0500000000e+01,1.1264234513e+00,2.1531883665e-01,1.7748271255e-01,5.9200000763e+00,4.3999999762e-01,4.3999999762e-01,0,2.0846691895e+02,-3.5314361572e+01,2.1928367615e+02,-2.2064409256e+01,2.1318000488e+03
  28,        "HD 33844 b",1.6000000238e+00,5.9999998659e-02,5.9999998659e-02,1.5000000596e-01,7.0000000298e-02,7.0000000298e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1720175352e+00,2.1601146936e-01,1.7667397129e-01,5.3899998665e+00,2.8000000119e-01,2.8000000119e-01,0,7.8150421143e+01,-1.4951110840e+01,7.5459793091e+01,-3.7794185638e+01,5.5140002441e+02
  29,        "HD 33844 c",2.2400000095e+00,5.0000000745e-02,5.0000000745e-02,1.2999999523e-01,1.0000000149e-01,1.0000000149e-01,7.1000000000e+01,6.7000000000e+01,6.7000000000e+01,1.1823565360e+00,2.0667564114e-01,1.8312599947e-01,5.3899998665e+00,2.8000000119e-01,2.8000000119e-01,0,7.8150421143e+01,-1.4951110840e+01,7.5459793091e+01,-3.7794185638e+01,9.1600000000e+02
  30,       "HD 207832 c",2.1119999886e+00,8.6999997497e-02,8.6999997497e-02,2.7000001073e-01,2.1999999881e-01,1.0000000149e-01,1.2159999847e+02,3.2400001526e+01,7.6500000000e+01,1.2327242769e+00,2.3241779332e-01,1.9486133043e-01,9.5999997854e-01,1.9999999553e-02,1.9999999553e-02,0,3.2815118408e+02,-2.6026559830e+01,3.2138879395e+02,-1.2354909897e+01,1.1556999512e+03
  31,       "HIP 70849 b",2.0250000000e+01,1.5750000000e+01,1.5750000000e+01,7.1499997377e-01,2.4500000477e-01,2.4500000477e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1249609064e+00,1.9485851277e-01,1.9914889484e-01,1.4796893538e+00,1.5068177443e+00,1.5068177443e+00,0,2.1732734680e+02,-4.6463817596e+01,2.3079940796e+02,-2.9932401657e+01,1.7337500000e+04
  32,       "HD 183263 c",4.3499999046e+00,2.8000000119e-01,2.8000000119e-01,2.3899999261e-01,6.4000003040e-02,6.4000003040e-02,3.4500000000e+02,1.2000000000e+01,1.2000000000e+01,1.1464850221e+00,2.1937851203e-01,1.8082218647e-01,1.2300000191e+00,1.9999999553e-02,1.9999999553e-02,0,2.9210238647e+02,8.3580541611e+00,2.9542214966e+02,2.9867465973e+01,3.0700000000e+03
  33,       "HD 185269 b",7.9999998212e-02,7.9999998212e-03,7.9999998212e-03,3.0000001192e-01,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2063070007e+00,2.1970759033e-01,1.8233072948e-01,2.0000000000e+00,5.0000000745e-02,5.0000000745e-02,0,2.9429891968e+02,2.8499864578e+01,3.0356268311e+02,4.9146808624e+01,6.8378500938e+00
  34,       "HD 187085 b",2.0499999523e+00,2.0499999523e-01,2.0499999523e-01,4.6999999881e-01,0.0000000000e+00,0.0000000000e+00,9.4000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2334437901e+00,2.3136148438e-01,1.8762757480e-01,1.1167877038e+00,2.4444563034e-02,2.4444563034e-02,0,2.9739154053e+02,-3.7780551910e+01,2.9227877808e+02,-1.6436046600e+01,9.8600000000e+02
  35,       "HD 187123 b",4.2599998415e-02,2.4999999441e-03,2.4999999441e-03,1.0300000198e-02,5.9000002220e-03,5.9000002220e-03,2.5000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2558712309e+00,2.2400904176e-01,2.1920249036e-01,9.7099894405e-01,3.7774159248e-02,3.7774159248e-02,0,2.9674212646e+02,3.4419525146e+01,3.0945254517e+02,5.4256740570e+01,3.0965828896e+00
  36,       "HD 187123 c",4.8899998665e+00,5.2999997139e-01,5.2999997139e-01,2.5200000405e-01,3.2999999821e-02,3.2999999821e-02,2.4300000000e+02,1.9000000000e+01,1.9000000000e+01,1.1944873439e+00,2.0929744591e-01,2.0403497254e-01,9.7075484621e-01,3.7981651512e-02,3.7981651512e-02,0,2.9674212646e+02,3.4419525146e+01,3.0945254517e+02,5.4256740570e+01,3.8100000000e+03
  37,       "HD 188015 b",1.2029999495e+00,7.0000000298e-02,7.0000000298e-02,1.3699999452e-01,2.6000000536e-02,2.6000000536e-02,2.2200000000e+02,1.0000000000e+01,1.0000000000e+01,1.2082576529e+00,2.4297446368e-01,1.8988394762e-01,1.1746290256e+00,6.4074093140e-01,6.4074093140e-01,0,2.9801892090e+02,2.8100376129e+01,3.0817263794e+02,4.7894557953e+01,4.6120001221e+02
  38,       "HD 189733 b",3.0663797444e-02,2.3095053649e-03,2.3095053649e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2108879807e+00,2.2592402276e-01,1.9431990648e-01,7.5000000000e-01,9.9999997765e-03,9.9999997765e-03,1,3.0018212891e+02,2.2710853577e+01,3.0874087524e+02,4.2176204681e+01,2.2185800076e+00
  39,       "HD 190360 b",3.9700000286e+00,7.0000000298e-02,7.0000000298e-02,3.1000000238e-01,1.9999999553e-02,1.9999999553e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1915668235e+00,2.2169101073e-01,1.9192503554e-01,1.1399999857e+00,1.9999999553e-02,1.9999999553e-02,0,3.0090585327e+02,2.9896804810e+01,3.1260299683e+02,4.8867343903e+01,2.9150368652e+03
  40,       "HD 190360 c",1.3040000200e-01,7.4999998324e-03,7.4999998324e-03,2.3700000346e-01,8.2000002265e-02,8.2000002265e-02,5.0000000000e+00,2.6000000000e+01,2.6000000000e+01,4.0621441524e-01,1.6800019244e-01,1.1430762259e-01,1.1399999857e+00,1.9999999553e-02,1.9999999553e-02,0,3.0090585327e+02,2.9896804810e+01,3.1260299683e+02,4.8867343903e+01,1.7111000061e+01
  41,       "HD 190984 b",5.5000000000e+00,5.5000000000e-01,5.5000000000e-01,5.6999999285e-01,1.0000000149e-01,1.0000000149e-01,3.1800000000e+02,5.0000000000e+00,5.0000000000e+00,1.1737271595e+00,2.0770577063e-01,1.9147068796e-01,1.5299999714e+00,7.6499998569e-01,7.6499998569e-01,0,3.0287799072e+02,-6.4620468140e+01,2.8864343262e+02,-4.3294639587e+01,4.8850000000e+03
  42,       "HD 192263 b",1.5000000596e-01,1.5000000596e-02,1.5000000596e-02,5.0000000745e-02,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2312878892e+00,2.3262865430e-01,2.0398260785e-01,7.4000000954e-01,9.9999997765e-03,9.9999997765e-03,0,3.0349935913e+02,-8.6687701941e-01,3.0559384155e+02,1.8528985977e+01,2.4355600357e+01
  43,       "HD 192310 b",3.1999999285e-01,4.9999998882e-03,4.9999998882e-03,1.2999999523e-01,3.9999999106e-02,3.9999999106e-02,1.7300000000e+02,2.0000000000e+01,2.0000000000e+01,3.6984508761e-01,1.4896644704e-01,1.0566362746e-01,8.2522034918e-01,9.5984473569e-02,9.5984473569e-02,0,3.0382244873e+02,-2.7032976151e+01,2.9997213745e+02,-7.0446639061e+00,7.4720001221e+01
  44,       "HD 195019 b",1.4000000060e-01,1.4000000060e-02,1.4000000060e-02,9.9999997765e-03,0.0000000000e+00,-0.0000000000e+00,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1316541524e+00,2.1878719575e-01,1.5905665092e-01,1.4800000191e+00,2.9999999329e-02,2.9999999329e-02,0,3.0707763672e+02,1.8769496918e+01,3.1529083252e+02,3.6561706543e+01,1.8201320648e+01
  45,       "HD 196067 b",5.0199999809e+00,1.8999999762e-01,1.8999999762e-01,6.6000002623e-01,1.8000000715e-01,9.0000003576e-02,1.4819999695e+02,7.8000001907e+00,7.8000001907e+00,1.1361964351e+00,1.9635895503e-01,1.8208291818e-01,1.7300000191e+00,2.0999999344e-01,2.0999999344e-01,0,3.1043371582e+02,-7.5350799561e+01,2.8628506470e+02,-5.4202178955e+01,3.6380000000e+03
  46,       "HD 196885 b",2.3699998856e+00,1.9999999553e-02,1.9999999553e-02,4.7999998927e-01,5.9999998659e-02,5.9999998659e-02,7.8000000000e+01,7.5999999046e+00,7.5999999046e+00,1.1586655556e+00,2.0229422115e-01,1.6793154040e-01,1.3099999428e+00,5.0000000745e-02,5.0000000745e-02,0,3.0996615601e+02,1.1249649048e+01,3.1582675171e+02,2.8554519653e+01,1.3330000000e+03
  47,       "HD 200964 b",1.6399999857e+00,2.9999999329e-02,2.9999999329e-02,3.9999999106e-02,2.9999999329e-02,2.9999999329e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1667792439e+00,2.4167273325e-01,1.7556513769e-01,4.6900000572e+00,2.0000000298e-01,2.0000000298e-01,0,3.1666601562e+02,3.8031189442e+00,3.2033224487e+02,1.9464841843e+01,6.1379998779e+02
  48,       "HD 200964 c",1.9500000477e+00,8.0000003800e-03,8.0000003800e-03,1.8099999428e-01,2.4000000209e-02,1.7000000924e-02,1.8260000610e+02,6.7699996948e+01,5.7099998474e+01,1.2254965302e+00,2.3071973679e-01,1.9535245559e-01,4.6900000572e+00,2.0000000298e-01,2.0000000298e-01,0,3.1666601562e+02,3.8031189442e+00,3.2033224487e+02,1.9464841843e+01,8.2500000000e+02
  49,       "HD 202206 c",2.4100000858e+00,2.4100000858e-01,2.4100000858e-01,2.1999999881e-01,2.9999999329e-02,2.9999999329e-02,2.8000000000e+02,4.0000000000e+00,4.0000000000e+00,1.0740649544e+00,1.8920268706e-01,1.6797023016e-01,1.0299999714e+00,1.9999999553e-02,1.9999999553e-02,0,3.1874069214e+02,-2.0789209366e+01,3.1483535767e+02,-4.6115880013e+00,1.2600000000e+03
  50,       "HD 204313 b",3.0699999332e+00,5.9999998659e-02,5.9999998659e-02,2.3000000417e-01,3.9999999106e-02,3.9999999106e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1601002449e+00,2.1948396423e-01,1.8738814113e-01,1.1000000238e+00,1.9999999553e-02,1.9999999553e-02,0,3.2205087280e+02,-2.1726255417e+01,3.1749435425e+02,-6.4528679848e+00,1.9200999756e+03
  51,       "HD 204941 b",2.5499999523e+00,7.9999998212e-02,7.9999998212e-02,3.7000000477e-01,7.9999998212e-02,7.9999998212e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,8.9874917202e-01,3.5499940341e-01,2.8713320246e-01,7.7999997139e-01,9.9999997765e-03,9.9999997765e-03,0,3.2309796143e+02,-2.0957422256e+01,3.1867037964e+02,-6.0338048935e+00,1.7330000000e+03
  52,       "HD 205739 b",8.9600002766e-01,1.8999999389e-02,1.8999999389e-02,2.7000001073e-01,7.0000000298e-02,7.0000000298e-02,3.0100000000e+02,8.0000000000e+00,8.0000000000e+00,1.1940033424e+00,2.2969258659e-01,1.8828731365e-01,1.3300000429e+00,1.0000000149e-01,1.0000000149e-01,0,3.2453503418e+02,-3.1737483978e+01,3.1629873657e+02,-1.6638969421e+01,2.7979998779e+02
  53,       "HD 207832 b",5.6999999285e-01,1.9999999553e-02,1.9999999553e-02,1.2999999523e-01,1.1999999732e-01,1.1999999732e-01,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2437769877e+00,2.3619088081e-01,1.8239045008e-01,9.5999997854e-01,1.9999999553e-02,1.9999999553e-02,0,3.2815118408e+02,-2.6026559830e+01,3.2138879395e+02,-1.2354909897e+01,1.6197000122e+02
  54,       "HD 208487 b",5.2399998903e-01,2.9999999329e-02,2.9999999329e-02,2.3999999464e-01,1.5999999642e-01,1.5999999642e-01,1.1300000000e+02,0.0000000000e+00,0.0000000000e+00,1.2559127392e+00,2.5182166694e-01,2.0904061446e-01,1.3697058845e+00,7.2747389109e-01,7.2747389109e-01,0,3.2933270264e+02,-3.7763622284e+01,3.1794009399e+02,-2.3670713425e+01,1.3008000183e+02
  55,       "HD 209458 b",4.8542926546e-02,3.4309096236e-03,3.4309096236e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2452042002e+00,2.0721354260e-01,2.0859536764e-01,1.1900000572e+00,1.9999999553e-02,1.9999999553e-02,1,3.3079489136e+02,1.8884319305e+01,3.4035412598e+02,2.8724212646e+01,3.5247499943e+00
  56,       "HD 210277 b",1.1299999952e+00,1.9999999553e-02,1.9999999553e-02,4.7999998927e-01,1.9999999553e-02,1.9999999553e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2095131158e+00,2.1945668417e-01,1.8628664904e-01,1.0700000525e+00,9.9999997765e-03,9.9999997765e-03,0,3.3237445068e+02,-7.5486540794e+00,3.3164587402e+02,3.5729570389e+00,4.4219000244e+02
  57,       "HD 212771 b",1.1599999666e+00,1.9999999553e-02,1.9999999553e-02,1.0999999940e-01,5.9999998659e-02,5.9999998659e-02,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.1354435999e+00,2.3555470387e-01,1.7713097275e-01,4.5500001907e+00,1.5000000596e-01,1.5000000596e-01,0,3.3676278687e+02,-1.7263658524e+01,3.3214492798e+02,-7.0313339233e+00,3.7329998779e+02
  58,        "HIP 8541 b",2.7999999523e+00,2.5000000000e-01,2.5000000000e-01,1.5999999642e-01,5.9999998659e-02,5.9999998659e-02,2.9389999390e+02,1.5199999809e+01,1.5199999809e+01,1.1310727466e+00,2.0650468272e-01,1.7150703010e-01,7.8299999237e+00,1.0199999809e+00,1.0199999809e+00,0,2.7526374817e+01,-5.4464962006e+01,3.5147543335e+02,-5.8589546204e+01,1.5601999512e+03
  59,       "HIP 74890 b",2.0999999046e+00,9.0000003576e-02,9.0000003576e-02,7.0000000298e-02,7.0000000298e-02,7.0000000298e-02,1.8189999390e+02,9.3900001526e+01,9.3900001526e+01,1.1665200939e+00,2.5610596318e-01,1.8691025333e-01,5.7699999809e+00,5.2999997139e-01,5.2999997139e-01,0,2.2957220459e+02,-4.1420570374e+01,2.3828431702e+02,-2.2329286575e+01,8.2229998779e+02
  60,       "HIP 79431 b",3.6000001431e-01,3.6000001431e-02,3.6000001431e-02,2.8999999166e-01,1.9999999553e-02,1.9999999553e-02,2.8739999390e+02,3.2000000477e+00,3.2000000477e+00,1.1911399367e+00,2.1114058252e-01,1.7877756886e-01,5.4000002146e-01,2.7000001073e-01,2.7000001073e-01,0,2.4317405701e+02,-1.8875503540e+01,2.4470115662e+02,2.2387049198e+00,1.1169999695e+02
  61,       "HIP 91258 b",5.9999998659e-02,5.9999998659e-03,5.9999998659e-03,1.9999999553e-02,9.9999997765e-03,9.9999997765e-03,9.0000000000e+01,0.0000000000e+00,0.0000000000e+00,1.2180816657e+00,2.2033074093e-01,1.8902954169e-01,8.8999998569e-01,2.9999999329e-02,2.9999999329e-02,0,2.7922146606e+02,6.1702503204e+01,3.1385366821e+02,8.3704917908e+01,5.0504999161e+00
  62,       "HIP 97233 b",2.5499999523e+00,5.0000000745e-02,5.0000000745e-02,6.1000001431e-01,2.9999999329e-02,2.9999999329e-02,2.4930000305e+02,2.4000000954e+00,2.4000000954e+00,1.0572211492e+00,2.2688195365e-01,1.6547944459e-01,5.3400001526e+00,5.5000001192e-01,5.5000001192e-01,0,2.9642196655e+02,-6.9664502144e-01,2.9829812622e+02,2.0184503555e+01,1.0588000488e+03
