#name,ra,dec,elon,tau,elat,c1s1,c1s2,c1s3,c1s4,c1s5,c1s6,c1s7,c1s8,c1s9,c1s10,c1s11,c1s12,c1s13,c2s1,c2s2,c2s3,c2s4,c2s5,c2s6,c2s7,c2s8,c2s9,c2s10,c2s11,c2s12,c2s13
        "HD 11964 c",29.290025711,-10.242427826,23.376195908,-20.771644592,27.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 12661 c",31.142866135,25.414304733,37.783653259,12.001375198,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
        "HD 13189 b",32.417381287,32.316436768,41.370910645,18.075437546,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 13908 c",34.560665131,65.594360352,59.483211517,47.9243927,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
        "HD 13931 b",34.197414398,43.772994995,47.313884735,28.247457504,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
        "HD 16141 b",38.833034515,-3.5606019497,35.251583099,-17.813848495,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 16175 b",39.257961273,42.062633514,50.507068634,25.326833725,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
        "HD 17156 b",42.43536377,71.753234863,67.987945557,51.934677124,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
        "HD 18742 b",45.044406891,-20.802602768,35.184627533,-36.084777832,27.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 20794 b",49.981876373,-43.069782257,27.223466873,-58.111755371,54.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 20794 d",49.981876373,-43.069782257,27.223466873,-58.111755371,54.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 20782 b",50.014907837,-28.854070663,36.976764679,-45.210697174,27.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 20868 b",50.177894592,-33.730102539,34.435199738,-49.777259827,27.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 23127 b",54.848495483,-60.077842712,5.8536310196,-73.219978333,81.0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 23079 b",54.929561615,-52.915836334,21.354621887,-68.160568237,54.0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 22781 b",55.206356049,31.826290131,60.298152924,11.904652596,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
        "HD 23596 b",57.001556396,40.530635834,63.856777191,20.039434433,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
        "HD 24040 b",57.59569931,17.476366043,59.225013733,-2.5680060387,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 25171 b",58.956001282,-65.186676025,351.80459595,-77.370147705,243.0,4,3,4,4,0,0,4,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 27442 b",64.120956421,-59.302154541,19.607366562,-76.317588806,162.0,0,4,3,3,4,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 27631 b",64.939460754,-41.960266113,48.182350159,-61.810180664,54.0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 27894 b",65.196029663,-59.410835266,20.870296478,-76.79284668,243.0,4,4,3,3,4,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 28254 b",66.211273193,-50.622192383,41.341854095,-70.071044922,81.0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 28678 b",67.856056213,4.5752868652,66.851448059,-17.1021595,27.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 30177 b",70.476554871,-58.020755768,34.261444092,-77.634170532,270.0,0,4,4,3,4,4,0,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 30669 b",72.118690491,-28.419298172,64.981643677,-50.317058563,27.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 30856 b",72.574424744,-24.368839264,66.695297241,-46.408237457,27.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 32518 b",77.402999878,69.639404297,83.673919678,46.476589203,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
        "HD 33142 b",76.898086548,-13.986479759,74.076087952,-36.704299927,27.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
       "Kepler-93 c",291.41827393,38.672355652,304.27856445,59.58864975,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
       "Kepler-97 c",287.32662964,48.673431396,305.11660767,70.008476257,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
         "bet UMi b",222.67636108,74.155502319,133.31948853,72.987594604,108.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0
         "eps Tau b",67.154167175,19.180431366,68.465042114,-2.5671610832,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 33564 b",80.639717102,79.231147766,86.893356323,55.892841339,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
        "HD 34445 b",79.42074585,7.3533430099,79.098014832,-15.686472893,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 37605 b",85.007209778,6.0605788231,84.799629211,-17.288627625,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 38283 b",84.258407593,-73.69934082,282.60568237,-82.60761261,297.0,4,4,0,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 38529 b",86.645469666,1.1681929827,86.376548767,-22.228914261,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 38529 c",86.645469666,1.1681929827,86.376548767,-22.228914261,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 39091 b",84.291213989,-80.46912384,273.90765381,-76.013931274,162.0,4,0,0,4,0,0,0,4,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 40307 b",88.517669678,-60.023471832,83.514335632,-83.429374695,324.0,4,4,4,4,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 40307 d",88.517669678,-60.023471832,83.514335632,-83.429374695,324.0,4,4,4,4,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 40307 f",88.517669678,-60.023471832,83.514335632,-83.429374695,324.0,4,4,4,4,4,4,4,4,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 40979 b",91.124763489,44.260444641,90.861801147,20.824518204,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
        "HD 43197 b",93.398590088,-29.897270203,94.930732727,-53.278408051,27.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 44219 b",95.059677124,-10.725008965,96.003814697,-34.05891037,27.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 45364 b",96.410316467,-31.480953217,99.486206055,-54.709354401,54.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 45350 b",97.190460205,38.962963104,95.80141449,15.668367386,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
        "HD 45652 b",97.304962158,10.933891296,97.341598511,-12.319426537,27.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        "HD 46375 b",98.302597046,5.4629249573,98.6796875,-17.726556778,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
